id,cliente,canal,forma_pagamento,status,valor,data
171,Ana Souza,whatsapp,pix,cancelado,36.66,19/06/2024
172,Fernanda Rocha,ifood,dinher,pendente,37.76,20/06/2024
173,Ana Souza,instagram,pix,pendente,48.84,21/06/2024
174,Bruno Mello,ifood,pix,cancelado,55.12,22/06/2024
175,Rebeca Castro,whatsapp,pix,cancelado,54.15,23/06/2024
176,Luana Martins,site,cartao,cancelado,62.41,24/06/2024
177,Rebeca Castro,instagram,dinher,entregue,50.2,25/06/2024
178,Carlos Lima,ifood,pix,cancelado,71.8,26/06/2024
179,Lucas Andrade,ifood,pix,entregue,46.03,27/06/2024
180,Carlos Lima,site,cartão,cancelado,90.8,28/06/2024
181,Fernanda Rocha,instagram,pix,pendente,59.39,29/06/2024
182,Lucas Andrade,site,dinher,,37.14,30/06/2024
183,Fernanda Rocha,instagram,cartão,pendente,33.94,01/07/2024
184,Tiago Nunes,whatsapp,cartão,entregue,57.24,02/07/2024
185,Carlos Lima,whatsapp,pix,cancelado,46.65,03/07/2024
186,Rebeca Castro,instagram,pix,cancelado,60.71,04/07/2024
187,Carlos Lima,ifood,pix,cancelado,57.1,05/07/2024
188,Carlos Lima,instagram,dinheiro,pendente,48.91,06/07/2024
189,Luana Martins,ifood,cartão,entregue,37.3,07/07/2024
190,Carlos Lima,ifood,dinher,entregue,27.28,08/07/2024
191,Fernanda Rocha,instagram,pix,entregue,43.3,09/07/2024
192,Carlos Lima,site,dinheiro,cancelado,62.85,10/07/2024
193,Tiago Nunes,ifood,cartao,cancelado,53.21,11/07/2024
194,Fernanda Rocha,instagram,dinher,cancelado,31.31,12/07/2024
195,Bruno Mello,site,cartão,cancelado,52.6,13/07/2024
196,Lucas Andrade,whatsapp,pix,cancelado,55.78,14/07/2024
197,Tiago Nunes,site,pix,pendente,36.74,15/07/2024
198,Bruno Mello,insta,dinheiro,cancelado,52.31,16/07/2024
199,Ana Souza,ifood,cartao,entregue,50.87,17/07/2024
200,Tiago Nunes,whatsapp,cartão,cancelado,32.86,18/07/2024
201,Luana Martins,ifood,pix,cancelado,55.37,19/07/2024
202,Luana Martins,site,cartão,cancelado,58.41,20/07/2024
203,Tiago Nunes,site,dinher,cancelado,66.25,21/07/2024
204,Carlos Lima,site,cartao,entregue,65.81,22/07/2024
205,Rebeca Castro,insta,pix,cancelado,29.33,23/07/2024
206,Fernanda Rocha,site,pix,pendente,35.93,24/07/2024
207,Ana Souza,whatsapp,cartao,cancelado,57.73,25/07/2024
208,Luana Martins,ifood,cartão,pendente,57.71,26/07/2024
209,Bruno Mello,ifood,dinheiro,cancelado,57.73,27/07/2024
210,Carlos Lima,ifood,cartão,cancelado,107.79,28/07/2024
211,Rebeca Castro,site,cartao,pendente,58.56,29/07/2024
212,Carlos Lima,whatsapp,pix,pendente,67.03,30/07/2024
213,Fernanda Rocha,ifood,cartao,pendente,64.31,31/07/2024
214,Fernanda Rocha,site,dinher,entregue,59.77,01/08/2024
215,Rebeca Castro,ifood,cartao,cancelado,45.27,02/08/2024
216,Lucas Andrade,site,dinher,entregue,61.38,03/08/2024
217,Bruno Mello,instagram,dinher,cancelado,38.41,04/08/2024
218,Bruno Mello,insta,pix,pendente,46.45,05/08/2024
219,Lucas Andrade,ifood,pix,pendente,42.72,06/08/2024
220,Luana Martins,site,cartão,pendente,51.23,07/08/2024
221,Tiago Nunes,insta,pix,pendente,84.72,08/08/2024
222,Luana Martins,ifood,pix,entregue,21.99,09/08/2024
223,Bruno Mello,ifood,pix,cancelado,60.29,10/08/2024
224,Carlos Lima,ifood,dinheiro,entregue,25.81,11/08/2024
225,Fernanda Rocha,ifood,cartao,pendente,42.92,12/08/2024
226,Fernanda Rocha,whatsapp,dinher,pendente,66.33,13/08/2024
227,Rebeca Castro,ifood,pix,entregue,50.96,14/08/2024
228,Rebeca Castro,site,cartao,cancelado,33.83,15/08/2024
229,Ana Souza,whatsapp,dinher,pendente,39.27,16/08/2024
230,Fernanda Rocha,site,pix,entregue,60.19,17/08/2024
231,Carlos Lima,ifood,pix,cancelado,39.04,18/08/2024
232,Luana Martins,whatsapp,cartao,pendente,53.25,19/08/2024
233,Fernanda Rocha,ifood,pix,entregue,50.68,20/08/2024
234,Tiago Nunes,ifood,dinheiro,cancelado,40.23,21/08/2024
235,Luana Martins,ifood,cartao,pendente,82.16,22/08/2024
236,Lucas Andrade,insta,dinher,cancelado,59.51,23/08/2024
237,Carlos Lima,site,pix,entregue,19.62,24/08/2024
238,Luana Martins,whatsapp,cartão,cancelado,52.8,25/08/2024
239,Tiago Nunes,whatsapp,cartão,entregue,40.07,26/08/2024
240,Fernanda Rocha,site,cartao,cancelado,62.79,27/08/2024
241,Rebeca Castro,ifood,dinheiro,cancelado,38.11,28/08/2024
242,Bruno Mello,ifood,dinher,entregue,48.28,29/08/2024
243,Luana Martins,,dinheiro,cancelado,57.57,30/08/2024
244,Ana Souza,ifood,dinheiro,cancelado,62.99,31/08/2024
245,Carlos Lima,ifood,cartao,pendente,32.0,01/09/2024
246,Rebeca Castro,ifood,pix,cancelado,44.98,02/09/2024
247,Lucas Andrade,whatsapp,dinheiro,pendente,42.88,03/09/2024
248,Ana Souza,ifood,,cancelado,40.2,04/09/2024
249,Fernanda Rocha,whatsapp,pix,entregue,76.48,05/09/2024
250,Carlos Lima,site,dinher,pendente,56.07,06/09/2024
251,Tiago Nunes,site,cartao,entregue,31.09,07/09/2024
252,Bruno Mello,whatsapp,pix,pendente,63.77,08/09/2024
253,Bruno Mello,insta,dinheiro,entregue,81.83,09/09/2024
254,Luana Martins,insta,dinheiro,entregue,65.49,10/09/2024
255,Rebeca Castro,whatsapp,cartao,entregue,27.21,11/09/2024
256,Tiago Nunes,ifood,pix,pendente,42.74,12/09/2024
257,Fernanda Rocha,site,dinheiro,entregue,69.0,13/09/2024
258,Ana Souza,ifood,pix,entregue,39.38,14/09/2024
259,Bruno Mello,ifood,cartao,entregue,56.66,15/09/2024
260,Ana Souza,instagram,dinher,entregue,61.62,16/09/2024
261,Rebeca Castro,instagram,pix,pendente,36.1,17/09/2024
262,Tiago Nunes,site,cartao,pendente,49.11,18/09/2024
263,Rebeca Castro,ifood,dinheiro,entregue,1.38,19/09/2024
264,Tiago Nunes,whatsapp,dinher,pendente,34.63,20/09/2024
265,Luana Martins,,dinher,cancelado,46.21,21/09/2024
266,Tiago Nunes,,pix,entregue,31.28,22/09/2024
267,Luana Martins,whatsapp,cartão,cancelado,74.49,23/09/2024
268,Bruno Mello,whatsapp,pix,pendente,28.55,24/09/2024
269,Rebeca Castro,instagram,dinher,pendente,43.4,25/09/2024
270,Ana Souza,insta,cartão,pendente,51.96,26/09/2024
271,Fernanda Rocha,instagram,dinher,entregue,71.62,27/09/2024
272,Tiago Nunes,site,pix,entregue,28.46,28/09/2024
273,Bruno Mello,site,dinheiro,cancelado,67.45,29/09/2024
274,Luana Martins,instagram,dinheiro,cancelado,50.15,30/09/2024
275,Rebeca Castro,instagram,cartao,cancelado,35.28,01/10/2024
276,Tiago Nunes,insta,cartão,cancelado,56.93,02/10/2024
277,Luana Martins,ifood,pix,cancelado,52.99,03/10/2024
278,Ana Souza,ifood,cartao,pendente,41.0,04/10/2024
279,Tiago Nunes,ifood,dinher,pendente,51.05,05/10/2024
280,Tiago Nunes,whatsapp,pix,pendente,44.22,06/10/2024
281,Rebeca Castro,site,pix,pendente,51.7,07/10/2024
282,Tiago Nunes,site,,pendente,59.93,08/10/2024
283,Luana Martins,ifood,cartao,pendente,73.79,09/10/2024
284,Lucas Andrade,insta,,entregue,31.43,10/10/2024
285,Lucas Andrade,whatsapp,pix,entregue,82.0,11/10/2024
286,Carlos Lima,insta,cartão,cancelado,20.72,12/10/2024
287,Luana Martins,instagram,dinher,pendente,47.72,13/10/2024
288,Lucas Andrade,site,pix,entregue,58.82,14/10/2024
289,Luana Martins,whatsapp,dinher,cancelado,54.21,15/10/2024
290,Fernanda Rocha,ifood,dinher,entregue,40.66,16/10/2024
291,Lucas Andrade,whatsapp,cartão,pendente,46.88,17/10/2024
292,Rebeca Castro,insta,pix,cancelado,42.6,18/10/2024
293,Rebeca Castro,site,dinheiro,entregue,41.16,19/10/2024
294,Ana Souza,ifood,cartão,entregue,62.74,20/10/2024
295,Luana Martins,insta,dinher,entregue,55.36,21/10/2024
296,Ana Souza,ifood,dinheiro,pendente,39.61,22/10/2024
297,Bruno Mello,ifood,cartao,entregue,63.49,23/10/2024
298,Luana Martins,ifood,cartão,entregue,54.61,24/10/2024
299,Lucas Andrade,whatsapp,pix,pendente,62.19,25/10/2024
300,Tiago Nunes,insta,pix,pendente,59.44,26/10/2024
